Data Product,DPID,Measurement,Collection methodology,Images,Image legend,Maintenance and calibration,"Download contents - file list to be populated dynamically by portal. For this section, review current table descriptions.",Data processing and derivation,Data quality,Standard calculations,Table joining,More information,DP citation,"DPUG review comments - for OS data products, provide input on current DPUG here.","Data accessibility/documentation comments - for all data products, provide feedback on accessibility, clarity, any general data use issues.",
"3D wind speed, direction and sonic temperature",DP1.00007.001,"Three-dimensional windspeed (m/s), direction and temperature (°C) from the tower top.","3D windspeed and temperature is measured at the tower top using a sonic anemometer at 20 Hz acquisitional frequency. The sonic anemotmeter measures wind speed and the speed of sound on three nonorthogonal axes, from which orthogonal windspeed and temperature are derived. Published data is available in 1- and 30- minute averaging intervals. This data is only available within the eddy covariance bundle (DP4.00200) and is used alongside other data products to generate the momentum flux, sensible heat flux, latent heat flux and carbon flux data products.",,Left: Diagram of 3D sonic anemomter              Right: Location of Level 1 data products (1- and 30- min summarized data) associated with 3D sonic anemometer in HDF5 file structure.,3D sonic anemometer is calibrated prior to field deployment and recalibrated on an annual basis. Position is monitored by field staff and adjusted as needed. ,,,"Each measurement is accompanied by a final quality flag (finalQF). NEON recommends only using data where the corresponding final quality flag is 0. Data with a final quality flag of 1 are potentially inaccurate and should only be used with caution. The final quality flag is based on automated QA/QC tests, including range, step, and spike tests, as well as a manually set science review flag if applicable.Each measurement is accompanied by an estimate of measurement uncertainty, expressed at the 95% confidence level, which comprises known and quantifiable uncertainties. ",,,,Auto-generated,,,
Soil temperature,DP1.00041.001,,,,,,,,,,,,,,,
Soil water content and water salinity,DP1.00094.001,Volumetric water content (cm^3/cm^3) and salinity (unitless index) of the soil,"Soil water content and salinity are measured using up to eight sensors along a vertical profile extending up to two meters into the soil in all five soil plots. The three shallowest nominal installation depths are 6 cm, 16 cm, and 26 cm (±1 cm), with deeper depths determined on a site- and soil plot-specific basis. Both measurements represent an integration across a few centimeters vertically and horizontally around the sensor, are made at 0.1 Hz (10 seconds), and data are published at 1- and 30-minute averaging intervals.",,Sensor-based soil plot at D08 LENO. Not all measurements are made in every soil plot. ,Preventative maintenance is limited to aboveground components and typically performed every 2 weeks. Calibrations are performed annually.,,,"Each measurement is accompanied by a final quality flag (VSWCFinalQF and VSICFinalQF). NEON recommends only using data where the corresponding final quality flag is 0. Data with a final quality flag of 1 are potentially inaccurate and should only be used with caution. The final quality flag is based on automated QA/QC tests, including range, step, and spike tests, as well as a manually set science review flag if applicable. Each measurement is accompanied by an estimate of measurement uncertainty, expressed at the 95% confidence level (VSWCExpUncert and VSICExpUncert), which comprises known and quantifiable uncertainties.","Sensor depth (zOffset; m) and the latitude, longitude (referenceLatitude, referenceLongitude; °), and elevation (m) of the soil plot reference corner are in the sensor positions file (...sensor_positions...csv). Use the HOR.VER component of the time series file name  (horizontalPosition and verticalPosition if stacked using neonUtilities) to link to the corresponding row in the HOR.VER column of the sensor positions file. HOR indices 001-005 correspond to soil plots 1-5, and VER indices 501-508 increase with increasing depth.",,,,,,
Litterfall and fine woody debris sampling,DP1.10033.001,"Dry mass (g) for litterfall and fine woody debris funcitonal groups. Functional groups are: leaves, needles, twigs, woody material, flowers, seeds, other (lichen, mosses, other vegetative material) and mixed (unsorted material)","Litter is collected in elevated 0.5m2 mesh traps; fine woody debris is collected in 0.5x3m ground traps in the tower airshed. Sites deploy either 1 or 2 pairs of elevated and ground traps at plots with qualifying vegetaiton. Samples from elevated traps are collected up to 13 times a year, schedule deterimined by ecosystem. Sampling duration is reported in the data as daysOfTrapping.  Ground traps are collected once per year. Field samples are sorted to functional group, dried, and weighed to the nearest 0.01g (samples <0.01 g recorded as 0.005g). Once every 5 years, leaf and needle subsamples from one bout are further processed by an external lab for C, N, and Lignin.

",,"Figure 1. An elevated litter trap

Image is optional for this dp and may be omitted to save space if necessary","
Traps are inspected and serviced or repaired as needed during each collection event. The trapCondition field indicates the state of equipment at the time of collection. Samples are not collected from traps with significant damage.","Reviewed, descriptors seem fine",N/A,"10% of samples are re-weighed by a different technician to ensure weights are correct. The massSampleID field is unique to each subsample, but duplicates will exist if that subsample was reweighed for a quality check.  This is indicated by a Y in the qaDryMass field. *Records where qaDryMass=Y should be ignored to avoid double counting sample weights if data are being used to calculate litter production at any scale.*
",,See DP1.10033.001 table,[Document list; to be populated dynamically],To be auto-generated,"Definitely some extra, less useful fields. 1.1 Purpose was somewhat useful but too wordy, 1.2 Scope was also tough to follow. Section 2, related data products would probably still be useful to include at the end. Section 3 is mostly good, though I don't know if it's important to justify sampling design here, just stating it would probably be fine. Section 3.1 Spatial Sampling Design starts off well, then gets into a lot of particulars about NEON plot design--that could be a separate auxilary document Section 3.2 Temporal sampling Design is fine. Not sure how necessary Section 3.3 Variables Reported is to the end user. Section 3.4 Temporal Resolution and Section 3.5 Spatial Resolution are both potentially useful to a data user. Section 3.6 Associated Data Streams is a very useful sidenote. Section 3.7 Data Instances probably doesn't affect the end user at all. Section 3.8 is useful, but could probably be better explained by a diagram. Section 4 in its entirity is not super useful to the end user/ could be made a separate, generalized document about our data QC process. ",May not be clear to an external user not to include QA records. ,
Plant phenology observations,DP1.10055.001,"In-situ observations of status and intensity of phenological stages. Phenophases measured vary by species growth form and include leaf and needle development senescence along with reproductive phenophases.
","Observations are made on no more than 100 individuals along a square 800-meter long primary transect, and no more than 9 indivuduals in a 200 by 200 meter square plot that overlaps with the site's tower phenocam. Each individual is assesed for each possible phenophase at each bout. Bouts may occur year round at a frequency of once per week, or be seasonal with dynamic scheduling based on phenological activity of interest. Bout scheduling aims to collect observations on each individual approximately 50 times per year. One additional bout per year assesses overall individual health or disease status, along with structural measurements such as height.",,,"Indivuduals that become unsuitable (due to death, disease or infestation, or other factors) may be dropped from observation. A replacement of the same species is selected and given a new tag ID.

","No changes needed, seems fine",NA,Data quality is controlled at the point of entry by the use of dropdown menus to restrict value inputs. Field staff also review the data after recording it for plausibility based on site knowledge. ,"Individual spatial information can be calculated from the provided information: the coordinates and elevation of the plot centroid, along with the known dimensions of the phenology transect and the transect meter of each individual. This can also be done automatically using the def.calc.geo.os function from the geoNEON package, available from https://github.com/NEONScience/NEON-geolocation ",All tables may be joined on individualID,,,"Overall seems good. Might benefit from a description of phenology-specific acronyms used in the data, particularly the abbreviations for the growth form types, which are somewhat obscure and only explained in an appendix of the phenology protocol.","See DPUG comments on the growth form abbreviations - it would be helpful if these were listed somewhere more obvious, and care was taken to be sure the abbreviations match the data (eg. the protocol abbreviates semi-evergreen broadleaf as SEB, but it's recorded in the data as SEBR which may cause confusion)",
,,,,,,,,,,,,,,,,
Temperature (PRT) in surface water,DP1.20053.001,Water temperature in degrees Celsius (°C).　,"Surface temperature is measured using a platinum resistance thermometer in lakes, wadeable and non-wadeable streams. Measurements represent a point, are made at 1Hz (1 per second), and data are published in one-, five-, and thirty-minute averaging intervals. ",,"Downstream (S-2) Sensor Location Example, Domain 18 OKSR S-2",Preventative maintenance of the external components of the PRT is typically preformed every 2 weeks and calibration of the internal sensor is performed annually. ,"Current table descriptions are fine, but the variables document references NEON.DOC.001113 which is not downloaded with the data. ","One second measurements are used to generate 1-, 5- and 30-minute averages.","Each measurement is accompanied by a final quality flag (finalQF). NEON recommends only using data where corresponding final quality flag is 0. Data with a final quality flag of 1 are potentially inaccurate and should only be used with caution. The final quality flag is based on automated QA/QC tests, including range, step, and spike tests, as well as a manually set science review flag if applicable. Each measurement is accompanied by an estimate of measurement uncertainty, expressed at the 95% confidence level (surfWaterTempExpUncert), which comprises known and quantifiable uncertainties.","Sensor depth (zOffset; m) and the latitude, longitude (referenceLatitude, referenceLongitude; °), and elevation (referenceElevation; m) of the PRT sensor are in the sensor positions file (...sensor_positions...csv). Use the HOR.VER component of the time series file name to link to the corresponding row in the HOR.VER column of the sensor positions file. An HOR of 101 or 111 correspond to Sensor Set 1 (upstream) and HOR of 102 or 112 correspond to Sensor Set 2 (downstream).",NA,,To be auto-generated,,,
Windspeed and direction above water on-buoy.,DP1.20059.001,Wind speed and direction in meters per second.,"Wind speed and direction are measured using a 2-D sonic anemometer located on lake and river buoys. Measurements represent a point, are made at 1Hz (1 per second), 11 times per minute and published in two- and thirty-minute averaging intervals.  ",,,Preventative maintenance includes ensuring the bearings in the anemometer rotate freely and the potentiometer is not noisy or curved. These checks are typically performed every 2 weeks and calibration is performed annually.,Current table description are fine. ,One second measurements are used to generate 60 second mean values and published in 2- and 30-minute averages. ,"Each measurement is accompanied by a final quality flag (finalQF). NEON recommends only using data where corresponding final quality flag is 0. Data with a final quality flag of 1 are potentially inaccurate and should only be used with caution. The final quality flag is based on automated QA/QC tests, including range, step, and spike tests, as well as a manually set science review flag if applicable. Each measurement is accompanied by an estimate of measurement uncertainty, expressed at the 95% confidence level (buoyWindDirExpUncert or buoyWindSpeedExpUncert), which comprises known and quantifiable uncertainties.","Sensor height (zOffset; m) and the latitude, longitude (referenceLatitude, referenceLongitude; °), and elevation (referenceElevation) of the 2D wind sensor are in the sensor positions file (...sensor_positions...csv). Use the HOR.VER component of the time series file name (horizontalPosition and verticalPosition if stacked using neonUtilities) to link to the corresponding row in the HOR.VER column of the sensor positions file.",NA,,To be auto-generated,,,
Spectrometer orthorectified surface directional reflectance - flightline,DP1.30006.001,"The solar energy reflected off of the earth’s surface in the 0.4 to 2.5 micron wavelength range and modeled using ATCOR to best account for the many influencing factors such as reflectance angle/wavelength, solar angle, and scattering, absorbing, & re-radiating effects of atmospheric conditions. Surface reflectance data values range from 0 to 1, are scaled by 10,000 and orthorectified to a UTM projection with 1 m pixels.","NEON AOP instruments, including the NEON Imaging Spectrometer (NIS), are flown at 1000 m above ground level at 100 knots in flight lines that have 37% overlap. This results in NIS collections at 1 m spatial resolution and 5 nm spectral resolution in over 420 bands from 380 to 2500 nm. All AOP L1 data products are distributed in individual flight lines (typically 600m wide by 5 to 20 km long). NEON sites are flown once per year with a target of 90% of maximum greenness or higher and at a minimum of 3 of every 4 years. Flight coverage is a minimum of 10 km by 10 km and covers both NEON tower and observational sampling sites. Aquatic sites, as well as those in Hawaii and Puerto Rico, are flown in the same fashion, but at reduced frequency.",,,"Calibration activities are conducted on the NIS every winter between flight seasons in the NEON AOP lab where it measures known radiance sources in a controlled environment. Calibration/validation flights are flown at the beginning and end of every flight season for positional and timing accuracy as well as measuring radiance and reflectance over well-characterized, homogenous targets. In each domain collected, an in-situ calibration is conducted where the NIS records radiance from a known portable mercury lamp positioned directly under the sensor. Finally, at the start and end of each flight line flown, a set of on-board calibrations are made. These calibration activities allow any variances in the spectral response of the focal plane to be characterized, recorded, and tracked.",Auto-generated,Each NIS flight line is processed from raw L0 DN to L1 radiance using the lab and onboard calibration information. Each radiance flight line is then orthorectified using a digital surface model from the co-collected lidar data. The orthorectified radiance flight lines are then processed to directional surface reflectance using the atmospheric correction and modeling package ATCOR and distributed including all 420+ bands in HDF5 format for each individual flight line.,"Downloaded data include a quality report for each flight flown over a site, as well as the site as a whole, describing cloud conditions, positioning errors, parameters used for atmospheric corrections, instrument health, and other data quality considerations made during flight collection and processing of data. Flightlines are each assigned color-coded cloud cover quality flags (green <10%, yellow 10%-50%, red >50%). Pixels missing data are coded -9999.","Data should be divided by the scale factor (10,000) stored in the Scale_Factor attribute of the dataset in the HDF 5 file. This will put the data in a range of 0 (0%) to 1 (100%).",N/A,Auto-generated,Auto-generated,,,
Aquatic plant bryophyte chemical properties,DP1.20063.001,"Carbon (C) and Nirtogen (N) concentrations (% and perMill) of aquatic plants, bryophytes, and macroalgae.","Aquatic plant, bryophyte, and macroalgae samples are collected by clip harvest once a year during the bout 2 aquatic sampling window. Ten samples are collected per site if aquatic vegetation is present. In wadeable streams collections are made within 4 meters of the nearest plant transect; 5 samples are collected from within the dominant habitat type and 5 samples are collected from the sub-dominant habitat type.  The ten sampling points for lakes and rivers will be determined by random GPS points from depth ranges where vegetation is known to colonize. Samples are separated by taxon at the domain lab, identified, ground, and shipped to the contracting laboratory for chemical analysis. ",N/A,N/A,N/A,,N/A,"Technician that did not originally enter data checks that the sample IDs generated by the mobile application(s) match the sample IDs written on the sample containers and that the barcode labels in in the mobile application(s) match the barcode labels adhered to the samples. Site ID, collect date, sampling protocol version, and AFDM measurements are also checked.  Additionally, many quality control measures are implemented at the point of data entry within a mobile data entry applicaon or webuserinterface(UI) via product specific data constraints.",N/A,See DP1.20063.001 Tables Tab,,,,,
Spectrometer orthorectified surface directional reflectance - mosaic,DP3.30006.001,"The solar energy reflected off of the earth’s surface in the 0.4 to 2.5 micron wavelength range and modeled using ATCOR to best account for the many influencing factors such as reflectance angle/wavelength, solar angle, and scattering, absorbing, & re-radiating effects of atmospheric conditions. Surface reflectance data values range from 0 to 1 and are scaled by 10,000 and orthorectified to a UTM projection with 1 m pixels.","NEON AOP instruments, including the NEON Imaging Spectrometer (NIS), are flown at 1000 m above ground level at 100 knots in flight lines that have 37% overlap. This results in NIS collections at 1 m spatial resolution and 5 nm spectral resolution in over 420 bands from 380 to 2500 nm. All AOP L3 data products are distributed in 1 km by 1km tiles. NEON sites are flown once per year with a target of 90% of maximum greenness or higher and at a minimum of 3 of every 4 years. Flight coverage is a minimum of 10 km by 10 km and covers both NEON tower and observational sampling sites. Aquatic sites, as well as those in Hawaii and Puerto Rico, are flown in the same fashion, but at reduced frequency.",,,"Calibration activities are conducted on the NIS every winter between flight seasons in the NEON AOP lab where it measures known radiance sources in a controlled environment. Calibration/validation flights are flown at the beginning and end of every flight season for positional and timing accuracy as well as measuring radiance and reflectance over well-characterized, homogenous targets. In each domain collected, an in-situ calibration is conducted where the NIS records radiance from a known portable mercury lamp positioned directly under the sensor. Finally, at the start and end of each flight line flown, a set of on-board calibrations are made. These calibration activities allow any variances in the spectral response of the focal plane to be characterized, recorded, and tracked.",Auto-generated,Each NIS flight line is processed from raw L0 DN to L1 radiance using the lab and onboard calibration information. Each radiance flight line is then orthorectified using a digital surface model from the co-collected lidar data. The orthorectified radiance flight lines are then processed to directional surface reflectance using the atmospheric correction and modeling package ATCOR and distributed including all 426 bands in HDF5 format for each individual flight line. The flightline HDF5 files at a given site are then merged and distributed in 1 km by 1 km L3 tiles where pixels are selected from flightlines with the highest quality cloud conditions at collect and closest proximity to nadir.,"Downloaded data include a quality report for each flight flown over a site, as well as the site as a whole, describing cloud conditions, positioning errors, parameters used for atmospheric corrections, and other data quality considerations made during flight collection and processing of data. Flightlines are each assigned color-coded cloud cover quality flags (green <10%, yellow 10%-50%, red >50%). Pixels missing data are coded -9999.","Data should be divided by the scale factor (10,000) stored in the Scale_Factor attribute of the dataset in the HDF 5 file. This will put the data in a range of 0 (0%) to 1 (100%).",N/A,Auto-generated,Auto-generated,,,
Spectrometer orthrorectified at-sensor radiance - flightline,DP1.30008.001,The solar energy reflected off of the earth’s surface in the 0.4 to 2.5 micron wavelength range without atmospheric corrections being applied. Units are µW/cm^2/sr/nm.,"NEON AOP instruments, including the NEON Imaging Spectrometer (NIS), are flown at 1000 m above ground level at 100 knots in flight lines that have 37% overlap. This results in NIS collections at 1 m spatial resolution and 5 nm spectral resolution in over 420 bands from 380 to 2500 nm. NEON sites are flown once per year with a target of 90% of maximum greenness or higher and at a minimum of 3 of every 4 years. All AOP L1 data products are distributed in individual flight lines (typically 600m wide by 5 to 20 km long). Flight coverage is a minimum of 10 km by 10 km and covers both NEON tower and observational sampling sites. Aquatic sites, as well as those in Hawaii and Puerto Rico, are flown in the same fashion, but at reduced frequency.",,,"Calibration activities are conducted on the NIS every winter between flight seasons in the NEON AOP lab where it measures known radiance sources in a controlled environment. Calibration/validation flights are flown at the beginning and end of every flight season for positional and timing accuracy as well as measuring radiance and reflectance over well-characterized, homogenous targets. In each domain collected, an in-situ calibration is conducted where the NIS records radiance from a known portable mercury lamp positioned directly under the sensor. Finally, at the start and end of each flight line flown, a set of on-board calibrations are made. These calibration activities allow any variances in the spectral response of the focal plane to be characterized, recorded, and tracked.",Auto-generated,Each NIS flight line is processed from raw L0 DN to L1 radiance using the lab and onboard calibration information. Each radiance flight line is then orthorectified using a digital surface model from the co-collected lidar data and distributed in HDF5 format for each individual flight line including all 420+ bands.,"Downloaded data include a quality report for each flight flown over a site, as well as the site as a whole, describing cloud conditions, positioning errors, and other data quality considerations made during flight collection and processing of data. Flightlines are each assigned color-coded cloud cover quality flags (green <10%, yellow 10%-50%, red >50%). Pixels missing data are coded -9999.",,N/A,Auto-generated,Auto-generated,,,
